Compound,Log_Conc,Log_Peak,Peak
Lactone,-4,4.413969972,25940
Lactone,-3,5.13909476,137751
Lactone,-2,6.268540063,1855838
Lactone,-1,7.267416719,18510439
Lactone,0,8.113540779,129879551
EE alpha farnesol,-4,3.497896743,3147
EE alpha farnesol,-3,5.184435888,152910
EE alpha farnesol,-2,6.289007349,1945393
EE alpha farnesol,-1,7.313210623,20568879
EE alpha farnesol,0,8.086427287,122018951
Geraniol,-4,3.984842231,9657
Geraniol,-3,5.2066586,160938
Geraniol,-2,6.353530212,2256993
Geraniol,-1,7.351503658,22464857
Geraniol,0,8.193993056,156312265
Methyl benzoate,-4,3.982180746,9598
Methyl benzoate,-3,5.103019916,126771
Methyl benzoate,-2,6.174290129,1493792
Methyl benzoate,-1,7.165711854,14645758
Methyl benzoate,0,8.148393258,140732129
Caryophyllene,-4,3.902383684,7987
Caryophyllene,-3,5.029095505,106929
Caryophyllene,-2,6.302886323,2008567
Caryophyllene,-1,7.315986794,20700784
Caryophyllene,0,8.108020553,128239127
Linalool,-4,4.16952749,14775
Linalool,-3,5.228698,169316
Linalool,-2,6.348292399,2229936
Linalool,-1,7.339440629,21849456
Linalool,0,8.19558679,156886939
toluene,-4,4.365094695,23179
toluene,-3,5.242710343,174868
toluene,-2,6.246403291,1763613
toluene,-1,7.233421308,17116750
toluene,0,8.183902393,152722278
