Population,Sample_ID_old,Sample_ID,Pop_Plant,Flower_ID,Type,Date,M.Corolla_D1,M.Corolla_D2,M.Tube_Flare,M.Stamen_Length,M.Style_Length,M.Hypanthium_Length,M.Pedicel_Length,M.Leaf_Number,M.Leaf_Length,M.Nectar_Column,M.Percent_Sugar,Fresh_Mass,Dry_Mass
Logan,rm3-1,Samp.rm3-1-A,rm3-1,1,Yes,1-Jun-09,73.40,72.50,8.90,26.82,39.51,87.17,11.79,32,232.41,7.64,,1.63,0.12
Logan,rm3-1-1,Samp.rm3-1-B,rm3-1,2,No,23-Jun-09,76.96,78.26,8.99,27.22,28.71,83.36,6.54,,,,,1.85,0.17
Logan,rm3-1-2,Samp.rm3-1-C,rm3-1,3,No,23-Jun-09,72.32,68.94,8.78,25.15,26.04,76.19,6.70,,,,,1.75,0.18
Logan,rm3-1-3,Samp.rm3-1-D,rm3-1,4,No,23-Jun-09,78.45,84.21,9.31,29.17,26.32,103.60,9.87,,,,,2.21,0.22
Logan,rm3-1,Samp.rm3-1-E,rm3-1,5,No,25-Jun-09,79.83,80.71,8.86,24.77,28.17,80.47,7.00,,,6,13.0,2.01,0.19
Logan,rm3-1,Samp.rm3-1-F,rm3-1,6,No,29-Jun-09,82.74,82.75,9.29,27.40,29.25,91.30,7.58,,,9,14.0,2.17,0.20
Logan,rm3-2,Samp.rm3-2-A,rm3-2,1,Yes,22-Jun-09,86.65,88.74,9.60,26.71,30.92,92.26,30.91,58,221.00,36,30.0,2.52,0.18
Logan,rm3-4-1,Samp.rm3-4-A,rm3-4,1,Yes,22-Jun-09,84.04,82.02,8.68,24.62,26.88,97.42,19.09,25,251.00,70,27.5,1.98,0.16
Logan,rm3-4-2,Samp.rm3-4-A,rm3-4,2,No,22-Jun-09,81.16,82.86,8.52,23.91,27.03,88.98,22.14,25,251.00,38,26.0,1.79,0.17
Logan,rm3-7,Samp.rm3-7-A,rm3-7,1,Yes,22-Jun-09,86.53,85.59,9.26,26.00,23.02,105.69,23.19,19,240.00,30,31.0,2.17,0.19
Logan,rm3-8,Samp.rm3-8-A,rm3-8,1,Yes,1-Jun-09,70.07,65.76,7.47,23.58,26.13,95.92,10.40,17,260.00,1.88,,1.66,0.16
Logan,rm3-9,Samp.rm3-9-A,rm3-9,1,Yes,18-Jun-09,69.92,73.19,7.57,26.92,27.60,74.73,26.48,34,249.00,0,0.0,1.78,0.13
Logan,rm3-10,Samp.rm3-10-A,rm3-10,1,Yes,22-Jun-09,81.03,81.72,7.45,27.83,20.17,128.00,2.38,14,191.00,40,27.5,1.83,0.17
Logan,rm3-13,Samp.rm3-13-A,rm3-13,1,Yes,25-Jun-09,65.87,65.59,6.88,19.92,18.00,90.33,9.64,,,18,21.0,1.12,0.08
