Compounds,Samp.rm3-1-A,Samp.rm3-1-B,Samp.rm3-1-C,Samp.rm3-1-D,Samp.rm3-1-E,Samp.rm3-1-F,Samp.rm3-2-A,Samp.rm3-4-A,Samp.rm3-4-B,Samp.rm3-7-A,Samp.rm3-8-A,Samp.rm3-9-A,Samp.rm3-10-A,Samp.rm3-13-A,Samp.rm3-16-A,Samp.rm3-17-A,Samp.rm3-17-B,Samp.rm3-17-C,Samp.rm3-18-A,Samp.rm3-18-B,Samp.rm3-18-C,Samp.rm3-18-D,Samp.rm3-19-A,Samp.rm3-19-B,Samp.rm3-19-C,Samp.rm3-19-D,Samp.rm3-19-E,Samp.rm3-20-A,Samp.rm3-20-B,Samp.rm3-20-C,Samp.rm3-20-D,Samp.rm3-21-A,Samp.rm3-21-B,Samp.rm3-21-C,Samp.rm3-23-A,Samp.rm3-23-B,Samp.rm3-24-A,Samp.rm3-24-B,Samp.rm3-24-C,Samp.rm3-24-D,Samp.rm3-25-A,Samp.rn3-26-A,Samp.rn3-26-B,Samp.rm3-28-A,Samp.rm3-28-B,Samp.rm3-30-A,Samp.rm3-31-A,Samp.rm4-6-A,Samp.rm4-6-B,Samp.rm4-6-C,Samp.rm4-6-D,Samp.rm4-6-E,Samp.rm4-6-F,Samp.rm4-6-G,Samp.rm4-7-A,Samp.rm4-7-B,Samp.rm4-9-A,Samp.rm4-9-B,Samp.rm4-13-A,Samp.rm4-17-A,Samp.rm1-2-A,Samp.rm1-4-A,Samp.rm1-5-A,Samp.rm1-9-A,Samp.rm1-13-A,Samp.rm1-13-B,Samp.rm1-14-A,Samp.rm1-16-A,Samp.rm1-16-B,Samp.rm1-16-C,Samp.rm1-17-A,Samp.rm1-18-A,Samp.rm1-19-A,Samp.rm1-20-A,Samp.rm1-20-B,Samp.rm1-20-C,Samp.rm1-20-D,Samp.rm1-21-A,Samp.rm1-21-B,Samp.rm1-22-A,Samp.rm1-22-B,Samp.rm1-24-A,Samp.rm1-24-B,Samp.rm1-31-A,Samp.rm1-31-B,Samp.rm5-7-A,Samp.rm5-8-A,Samp.rm5-12-A,Samp.rm5-16-A,Samp.rm5-16-B,Samp.rm5-17-A,Samp.rm5-23-A,Samp.rm5-23-B,Samp.rm5-24-A,Samp.rm5-24-B,Samp.rm5-27-A,Samp.rm5-29-A,Samp.rm5-29-B,Samp.rm2-1-A,Samp.rm2-3-A,Samp.rm2-5-A,Samp.rm2-5-B,Samp.rm2-6-A,Samp.rm2-7-A,Samp.rm2-8-A,Samp.rm2-9-A,Samp.rm2-9-B,Samp.rm2-9-C,Samp.rm2-9-D,Samp.rm2-11-A,Samp.rm2-11-B,Samp.rm2-11-C,Samp.rm2-11-D,Samp.rm2-13-A,Samp.rm2-13-B,Samp.rm2-13-C,Samp.rm2-13-D,Samp.rm2-15-A,Samp.rm2-15-B,Samp.rm2-15-C,Samp.rm2-16-A,Samp.rm2-16-B,Samp.mr2-16-C,Samp.rm2-16-D,Samp.rm2-17-A,Samp.rm2-17-B,Samp.rm2-17-C,Samp.rm2-17-D,Samp.rm2-18-A,Samp.rm2-18-B,Samp.rm2-18-C,Samp.rm2-18-D,Samp.rm2-19-A,Samp.rm2-20-A,Samp.rm2-20-B,Samp.rm2-21-A,Samp.rm2-21-B,Samp.rm2-23-A,Samp.rm2-23-B,Samp.rm2-23-C,Samp.rm2-23-D,Samp.rm2-25-A,Samp.rm2-25-B,Samp.rm2-25-C,Samp.rm2-25-D,Samp.rm2-26-A,Samp.rm2-27-A,Samp.rm2-27-B,Samp.rm2-28-A,Samp.rm2-28-B,Samp.rm2-28-C,Samp.rm2-28-D,Samp.rm2-28-E,Samp.rm2-29-A,Samp.rm2-29-B,Samp.rm2-30-A,Samp.rm2-31-A,Samp.rm2-31-B,Samp.rm2-31-C,Samp.rm2-32-A,Samp.rm2-32-B,Samp.rm2-32-C,Samp.rm2-32-D,Samp.rm2-32-E,Samp.rm2-32-F,Samp.rm2-32-G,Samp.rm2-32-H,Samp.rm2-33-A,Samp.rm2-33-B,Samp.rm2-33-C
Comp.2methylbutyronitrile,,,,,,,,,,,,,,,,22362,51315,37633,,,,,,,,,,,,,,,,,,,,18653,38611,54149,,,,,,,,,205952,161441,191843,153847,149331,238720,,,,,32019,,19094,10677,22811,,30195,29779,87828,7090,14739,7673,70366,12889,13404,12742,26690,6888,16863,26666,29106,34844,5261,11710,38049,37210,42144,,34645,46050,74830,26722,,188975,60393,11075,,42923,,39858,,47992,,,39625,,,,44190,51761,28616,38943,39433,128984,57891,,54188,74293,73857,32684,13362,,13182,16653,68719,57821,67416,51465,46964,108621,14532,219,51897,18994,34610,8329,53321,,,32896,59611,71439,60477,33941,39748,9975,18688,8063,7506,13963,128720,19028,146181,96419,19002,10428,16643,42223,8729,5975,,21552,,15351,7334,9538,9055,20439,,,,
Comp.3methylbutyronitrile,,,,,,,,,,,,,40002,,,12160,22134,37268,,,,,,,,,,,,,,,,,,,,,32449,29138,,,,,,,,,42812,59824,43285,47162,33829,71738,,,93057,,,,,72145,64341,35669,28038,,58982,48277,43202,30767,42313,53328,276951,87176,53848,228854,374934,50949,33686,408508,149182,166631,131133,80030,106819,47720,91099,44680,,,36690,65493,32138,29066,36600,,21024,,151736,,243743,161171,131989,148605,132308,33523,33253,65016,37952,39480,69033,118824,79090,768561,22426,100058,107188,,9617,,52300,38350,113353,19805,54605,54913,38001,112439,48616,34565,61133,,42738,132598,,208572,330507,63925,68882,78831,56515,20462,62592,16337,16976,33607,405131,454086,31136,16819,62071,58976,11695,542308,216272,42068,209428,318696,54083,20861,,80949,75318,94526,88668,94374,,61413,46022,
Comp.b-myrcene,125437,128251,33507,229987,40719,29216,30058,16795,13877,11796,148266,340048,402484,169546,,240542,335219,284395,,,,,,,,15216,,,43123,,9377,,,23510,,,215821,72361,156891,179232,,,,,,,,,,57121,,,,,,,,,,,8371,10271,6367,16965.00,10330,2018,38714,,8817,,24666,,26092,,,30899,23587,,,,,16580,,,37107,99200,33457,,23278,17985,,133108,94041,,14885,7314,143887,264613,,,17768,40680,,9703,15983,256767,187382,376747,199294,,33371,42992,27966,35337,,59809,57688,27580,28090,,38325,429279,157434,,45652,32886,13222,,,,38792,,17367,,,,8928,174665,165509,238593,180758,134779,134779,34632,56182,123358,361372,339895,43725,,117658,107776,6867,213513,142286,63544,16512,60426,15538,7476,30755,38483,70147,69821,152075,147248,,22927,33550,
Comp.cis-b-ocimene,42624,55644,11908,113405,134163,10329,2008,,,,40948,983296,154541,505166,,828344,967445,892354,,,,,,,,,,,14475,,,,,,,,79501,17879,49435,52167,,,,,,,,,,,,,,,,,,,,,,,,,,,14352,,,,,,,,,7340,8828,,,,,,,,,,6674,,,,,,,,,,39251,61036,90607,,20015,55300,,,,596059,433720,832298,388802,,,,,,,,,30781,34709,,85478,1007437,301901,17720,,,,,,,13923,,,,,,,302569,296952,391230,211573,166765,169453,41854,52009,260207,729590,690116,,,,,,481490,310977,13698,37806,,18387,,45072,,100622,110372,248915,245709,,,,
Comp.trans-b-ocimene,3396543,3804034,980359,7390732,1343123,1038273,32058,,,,756156,55247315,2469503,40693418,,45109217,50416369,47206565,,,,,,,,,,27799,259623,,54514,,,,,,1290951,436700,948141,1120689,,,,,,,,,,,,,,,,,,,,,9101,188788,100727,110270,17357,,680054,,,,155162,,13366,160343,96486,472983,508234,,37477,,,,,235437,,,214724,,,,,,,,,,901366,1452998,10771487,,3108218,6639207,,,,50821110,44619127,48846153,30872009,,50065,,,,,17300,11385,4283508,4299715,415355,11896419,85437158,26162485,2767722,17206,8951,,,,,89727,,,,,,,25395017,25357315,30865770,19943580,17020022,16978152,4041640,5467833,27018095,45720451,44549477,,,5603,4145,221851,37291405,27444318,81237,5033279,,2944291,,6950610,5692,12031371,12030584,21431855,21419897,,,7666,
Comp.nitro-2-methyl-butane,47061,,,,,,,,,,,,368047,,,78834,113911,63691,,,,,,,,25600,,,,,,,,,,,324837,207025,395571,306719,,,,,,,,101269,378208,1179086,411790,1348594,382262,313234,,,96308,,309784,116197,114195,40862,,20918,207271,159024,625277,17348,8104,14164,785957,39049,167175,,,25259,29646,29578,,30605,,49690,57865,22886,14437,,979789,222705,232862,44201,,701599,148002,73035,199582,85754,54778,86117,,109271,,,104186,,,325436,120730,320049,192900,265686,842842,1442239,714166,893732,307966,932196,956700,186864,74878,,132083,683571,516638,43903,609920,737779,468177,803359,223926,107665,234502,66870,297037,220288,29677,27621,57606,449557,457264,487988,332680,332894,330964,63016,47481,204898,64289,69761,358026,114513,1059401,1032954,116586,65182,42718,285468,27601,43264,,,,6653,74434,73138,51727,62250,,,,
Comp.nitro-3-methyl-butane,,,,,,,,,,,,,583203,,,33199,31756,26948,,,,,,,,,,,,,,72874,,32903,,,233566,25010,198011,120951,,,,,,,,,67363,436823,78478,311381,106810,79792,,,555086,30157,71054,56524,47414,517935,318675,453768,75940,96007,323496,538145,145242,109002,349001,253249,3206326,359564,175089,898040,1006502,432623,85168,760840,532604,627175,1143707,396584,653010,410721,148347,96563,64629,,154469,313440,124209,,19804,,45307,72730,129205,73148,,190118,,166008,411390,617781,270099,551065,161186,169625,440059,895918,522237,817572,78331,525062,535798,25844,,,78464,780264,601183,31448,304758,403929,143693,308485,177887,97978,189166,,259793,115818,30550,702985,1144765,277768,62762,284677,82845,153800,32412,22930,24614,204730,857249,937834,130184,41748,562856,491908,59753,1805406,530064,73045,209553,1232742,143714,6915,56621,538089,588921,425139,475370,356587,31442,207786,179766,32256
Comp.trans-isobutyraldoxime,,,,,,,,,,,,,643638,,,13318,50253,,,,,,,,,,,,,,,,,,,,54315,,,20613,25639,,,,,,,,,172683,68868,37328,62645,28598,,,281350,17325,12340,,32356,266070,61528,30921,13652,15521,10851,25414,55146,46722,37892,71484,297595,,117991,59384,115709,363817,,59367,102234,51102,85228,33848,36562,,,67982,10212,,29981,45086,,84039,,,19340,27132,,39913,11802,,,,,115603,137667,222065,19904,55267,35127,140540,90486,202905,,43319,28731,,,30962,19022,91927,69299,,17140,20868,,41653,,14872,19136,,52345,52282,,112824,255407,16456,13070,15144,25994,20732,21502,,,91536,231030,175005,31221,,36670,28441,,207363,88779,,27187,179541,,,,32106,142289,183990,145042,139478,,6518,11608,
Comp.cis-isobutyraldoxime,,,,,,,,,,,,,189647,,,,40396,,,,,,,,,,,,,,,,,,,,45772,,,,,,,,,,,,,125984,41952,59146,38817,,,,89691,,,,6611,228492,20099,15207,21512,,,17438,8496,16468,16307,20038,156739,,26252,31106,43113,113081,,30502,26318,14184,34939,16260,12409,35020,,33623,,,,,,,,,,,,14107,3352,,,,,54461,40101,108049,8502,28907,24544,91551,31837,102563,,17035,26236,,,,,80664,36736,,24201,13839,,8909,,,11414,,15817,34152,,32974,92425,29761,,,,,,,,21506,75324,99723,29204,,42187,21826,,133034,43416,,11601,145473,,,,25773,70922,88705,69103,54988,,,,
Comp.cis-furanoid-linalool-oxide,,,,,,,11778,3780,13865,,925544,,,,,14491,,,,,,,,,13335,15990,,21312,143503,,33901,,,,,,707917,99038,377165,405307,38346,,,,,,,,,,,,,,,,,,,,20071,16250,,7123,11635,8950,29492,6364,4988,31372,30226,9231,38619,,,4083,10360,21984,,6990,5299,6479,19022,12285,,,21938,,,,,,,,,,119545,235015,,,1248,,,,,,,19144,,,24644,44703,28706,24616,,13215,35182,,,,16422,53629,15603,,15509,52022,,17391,,4939,18450,,42813,19945,,13883,29697,12318,8208,36858,117937,7027,5371,,13403,10785,22730,33822,7695,8093,29766,21018,,35607,19035,17037,1684,43380,,2554,,19373,5490,3764,8186,7077,,16312,21178,
