Population,Sample_ID_old,Sample_ID,Pop_Plant,Flower_ID,Type,Date,Toluene_Area,Toluene_Amt,Sample_Vol,No_Hours,No_Flowers,Fresh_Mass,Dry_Mass
Logan,rm3-1,Samp.rm3-1-A,rm3-1,1,Yes,1-Jun-09,6397496,23,55,1,1,1.63,0.12
Logan,rm3-1-1,Samp.rm3-1-B,rm3-1,2,No,23-Jun-09,6368805,23,55,1,1,1.85,0.17
Logan,rm3-1-2,Samp.rm3-1-C,rm3-1,3,No,23-Jun-09,8001833,23,55,1,1,1.75,0.18
Logan,rm3-1-3,Samp.rm3-1-D,rm3-1,4,No,23-Jun-09,6552910,23,55,1,1,2.21,0.22
Logan,rm3-1,Samp.rm3-1-E,rm3-1,5,No,25-Jun-09,4755291,23,55,1,1,2.01,0.19
Logan,rm3-1,Samp.rm3-1-F,rm3-1,6,No,29-Jun-09,6389560,23,55,1,1,2.17,0.20
Logan,rm3-2,Samp.rm3-2-A,rm3-2,1,Yes,22-Jun-09,6955629,23,55,1,1,2.52,0.18
Logan,rm3-4-1,Samp.rm3-4-A,rm3-4,1,Yes,22-Jun-09,5670983,23,55,1,1,1.98,0.16
Logan,rm3-4-2,Samp.rm3-4-B,rm3-4,2,No,22-Jun-09,6465302,23,55,1,1,1.79,0.17
Logan,rm3-7,Samp.rm3-7-A,rm3-7,1,Yes,22-Jun-09,6409193,23,55,1,1,2.17,0.19
Logan,rm3-8,Samp.rm3-8-A,rm3-8,1,Yes,1-Jun-09,7736314,23,55,1,1,1.66,0.16
Logan,rm3-9,Samp.rm3-9-A,rm3-9,1,Yes,18-Jun-09,7218871,23,55,1,1,1.78,0.13
Logan,rm3-10,Samp.rm3-10-A,rm3-10,1,Yes,22-Jun-09,6023834,23,55,1,1,1.83,0.17
Logan,rm3-13,Samp.rm3-13-A,rm3-13,1,Yes,25-Jun-09,5121281,23,55,1,1,2.21,0.22
Logan,rm3-16,Samp.rm3-16-A,rm3-16,1,Yes,4-Jun-09,3131751,23,55,1,1,1.724,0.173
Logan,rm3-17-1,Samp.rm3-17-A,rm3-17,1,Yes,23-Jun-09,6393591,23,55,1,1,1.25,0.10
Logan,rm3-17-2,Samp.rm3-17-B,rm3-17,2,No,23-Jun-09,6336278,23,55,1,1,1.20,0.09
Logan,rm3-17,Samp.rm3-17-C,rm3-17,3,No,24-Jun-09,6214225,23,55,1,1,1.33,0.11
Logan,rm3-18,Samp.rm3-18-A,rm3-18,1,Yes,3-Jun-09,3150864,23,55,1,1,1.45,0.14
Logan,rm3-18,Samp.rm3-18-B,rm3-18,2,No,4-Jun-09,6742868,23,55,1,1,1.45,0.14
Logan,rm3-18,Samp.rm3-18-C,rm3-18,3,No,24-Jun-09,5752266,23,55,1,1,1.92,0.17
Logan,rm3-18,Samp.rm3-18-D,rm3-18,4,No,25-Jun-09,7485108,23,55,1,1,1.29,0.16
Logan,rm3-19,Samp.rm3-19-A,rm3-19,1,Yes,3-Jun-09,8694320,23,55,1,1,1.61,0.13
Logan,rm3-19,Samp.rm3-19-B,rm3-19,2,No,9-Jun-09,8074014,23,55,1,1,1.41,0.11
Logan,rm3-19,Samp.rm3-19-C,rm3-19,3,No,15-Jun-09,6327058,23,55,1,1,1.75,0.15
Logan,rm3-19,Samp.rm3-19-D,rm3-19,4,No,16-Jun-09,6987018,23,55,1,1,1.68,0.14
Logan,rm3-19,Samp.rm3-19-E,rm3-19,5,No,25-Jun-09,7902640,23,55,1,1,1.81,0.18
Logan,rm3-20,Samp.rm3-20-A,rm3-20,1,Yes,3-Jun-09,8636471,23,55,1,1,2.23,0.18
Logan,rm3-20,Samp.rm3-20-B,rm3-20,2,No,15-Jun-09,5874739,23,55,1,1,2.23,0.19
Logan,rm3-20,Samp.rm3-20-C,rm3-20,3,No,16-Jun-09,6354094,23,55,1,1,2.00,0.21
Logan,rm3-20,Samp.rm3-20-D,rm3-20,4,No,18-Jun-09,7125929,23,55,1,1,1.61,0.16
Logan,rm3-21,Samp.rm3-21-A,rm3-21,1,Yes,1-Jun-09,8574110,23,55,1,1,1.73,0.13
Logan,rm3-21,Samp.rm3-21-B,rm3-21,2,No,3-Jun-09,10283051,23,55,1,1,1.73,0.15
Logan,rm3-21,Samp.rm3-21-C,rm3-21,3,No,17-Jun-09,6438586,23,55,1,1,2.29,0.19
Logan,rm3-23-1,Samp.rm3-23-A,rm3-23,1,Yes,29-Jun-09,6019693,23,55,1,1,1.59,0.18
Logan,rm3-23-2,Samp.rm3-23-B,rm3-23,2,No,29-Jun-09,5225681,23,55,1,1,1.27,0.13
Logan,rm3-24,Samp.rm3-24-A,rm3-24,1,Yes,1-Jun-09,7589979,23,55,1,1,1.59,0.13
Logan,rm3-24,Samp.rm3-24-B,rm3-24,2,No,16-Jun-09,5530143,23,55,1,1,1.90,0.18
Logan,rm3-24,Samp.rm3-24-C,rm3-24,3,No,17-Jun-09,5292900,23,55,1,1,1.80,0.15
Logan,rm3-24,Samp.rm3-24-D,rm3-24,4,No,22-Jun-09,5742267,23,55,1,1,1.60,0.15
Logan,rm3-25,Samp.rm3-25-A,rm3-25,1,Yes,1-Jun-09,8165744,23,55,1,1,1.14,0.10
Logan,rn3-26,Samp.rn3-26-A,rn3-26,1,Yes,3-Jun-09,4146476,23,55,1,1,1.85,0.17
Logan,rn3-26,Samp.rn3-26-B,rn3-26,2,No,11-Jun-09,3260036,23,55,1,1,1.85,0.17
Logan,rm3-28,Samp.rm3-28-A,rm3-28,1,No,9-Jun-09,9442701,23,55,1,1,1.78,0.20
Logan,rm3-28,Samp.rm3-28-B,rm3-28,2,Yes,25-Jun-09,8119466,23,55,1,1,1.83,0.12
Logan,rm3-30,Samp.rm3-30-A,rm3-30,1,Yes,1-Jun-09,7148035,23,55,1,1,1.33,0.12
Logan,rm3-31,Samp.rm3-31-A,rm3-31,1,Yes,8-Jun-09,3922355,23,55,1,1,1.24,0.90
Idaho,rm4-6,Samp.rm4-6-A,rm4-6,1,Yes,9-Jun-09,4049797,23,55,1,1,2.29,0.20
Idaho,rm4-6,Samp.rm4-6-B,rm4-6,2,No,15-Jun-09,2977612,23,55,1,1,2.60,0.26
Idaho,rm4-6,Samp.rm4-6-C,rm4-6,3,No,17-Jun-09,5640485,23,55,1,1,2.56,0.18
Idaho,rm4-6,Samp.rm4-6-D,rm4-6,4,No,22-Jun-09,3149614,23,55,1,1,2.20,0.28
Idaho,rm4-6,Samp.rm4-6-E,rm4-6,5,No,23-Jun-09,5900199,23,55,1,1,2.20,0.28
Idaho,rm4-6,Samp.rm4-6-F,rm4-6,6,No,24-Jun-09,2581531,23,55,1,1,2.69,0.26
Idaho,rm4-6,Samp.rm4-6-G,rm4-6,7,No,29-Jun-09,4686075,23,55,1,1,2.20,0.19
Idaho,rm4-7,Samp.rm4-7-A,rm4-7,1,Yes,1-Jun-09,8665659,23,55,1,1,1.71,0.23
Idaho,rm4-7,Samp.rm4-7-B,rm4-7,2,No,3-Jun-09,8560560,23,55,1,1,1.71,0.23
Idaho,rm4-9,Samp.rm4-9-A,rm4-9,1,Yes,15-Jun-09,3093327,23,55,1,1,1.96,0.18
Idaho,rm4-9,Samp.rm4-9-B,rm4-9,2,No,25-Jun-09,5003904,23,55,1,1,2.58,0.24
Idaho,rm4-13,Samp.rm4-13-A,rm4-13,1,Yes,21-Jul-09,35219140,23,55,1,1,1.76,0.21
Idaho,rm4-17,Samp.rm4-17-A,rm4-17,1,Yes,3-Jun-09,9206914,23,55,1,1,1.40,0.14
Inyo,rm1-2,Samp.rm1-2-A,rm1-2,1,Yes,25-Jun-09,4615178,23,55,1,1,2.27,0.18
Inyo,rm1-4,Samp.rm1-4-A,rm1-4,1,Yes,23-Jun-09,5808526,23,55,1,1,1.36,0.13
Inyo,rm1-5,Samp.rm1-5-A,rm1-5,1,Yes,29-Jun-09,5807423,23,55,1,1,2.22,0.20
Inyo,rm1-9,Samp.rm1-9-A,rm1-9,1,Yes,21-Jul-09,31353727,23,55,1,1,3.02,0.34
Inyo,rm1-13,Samp.rm1-13-A,rm1-13,1,Yes,18-Jun-09,6647043,23,55,1,1,1.92,0.16
Inyo,rm1-13,Samp.rm1-13-B,rm1-13,2,No,1-Jul-09,5063100,23,55,1,1,1.53,0.13
Inyo,rm1-14,Samp.rm1-14-A,rm1-14,1,Yes,16-Jun-09,6882261,23,55,1,1,2.97,0.30
Inyo,rm1-16,Samp.rm1-16-A,rm1-16,1,Yes,9-Jun-09,8411896,23,55,1,1,3.30,0.33
Inyo,rm1-16,Samp.rm1-16-B,rm1-16,2,No,29-Jun-09,4327252,23,55,1,1,3.26,0.27
Inyo,rm1-16,Samp.rm1-16-C,rm1-16,3,No,1-Jul-09,4868591,23,55,1,1,2.53,0.21
Inyo,rm1-17,Samp.rm1-17-A,rm1-17,1,Yes,17-Jun-09,5117484,23,55,1,1,2.92,0.29
Inyo,rm1-18,Samp.rm1-18-A,rm1-18,1,Yes,8-Jun-09,3113903,23,55,1,1,2.08,0.25
Inyo,rm1-19,Samp.rm1-19-A,rm1-19,1,Yes,22-Jun-09,6268906,23,55,1,1,3.03,0.43
Inyo,rm1-20,Samp.rm1-20-A,rm1-20,1,Yes,8-Jun-09,3271428,23,55,1,1,2.62,0.31
Inyo,rm1-20,Samp.rm1-20-B,rm1-20,2,No,11-Jun-09,4526997,23,55,1,1,2.30,0.27
Inyo,rm1-20,Samp.rm1-20-C,rm1-20,3,No,23-Jun-09,6626497,23,55,1,1,2.17,0.26
Inyo,rm1-20,Samp.rm1-20-D,rm1-20,4,No,24-Jun-09,5990403,23,55,1,1,2.13,0.26
Inyo,rm1-21,Samp.rm1-21-A,rm1-21,1,Yes,24-Jun-09,3525995,23,55,1,1,2.13,0.19
Inyo,rm1-21,Samp.rm1-21-B,rm1-21,2,No,28-Jun-09,4390269,23,55,1,1,2.55,0.24
Inyo,rm1-22,Samp.rm1-22-A,rm1-22,1,Yes,9-Jun-09,7381052,23,55,1,1,3.00,0.35
Inyo,rm1-22,Samp.rm1-22-B,rm1-22,2,No,11-Jun-09,3249121,23,55,1,1,3.36,0.42
Inyo,rm1-24,Samp.rm1-24-A,rm1-24,1,Yes,16-Jun-09,5424404,23,55,1,1,1.85,0.17
Inyo,rm1-24,Samp.rm1-24-B,rm1-24,2,No,17-Jun-09,3142121,23,55,1,1,1.82,0.23
Inyo,rm1-31,Samp.rm1-31-A,rm1-31,1,Yes,8-Jun-09,2699300,23,55,1,1,2.39,0.23
Inyo,rm1-31,Samp.rm1-31-B,rm1-31,2,No,11-Jun-09,4407083,23,55,1,1,2.49,0.28
Zion,rm5-7,Samp.rm5-7-A,rm5-7,1,Yes,24-Jun-09,2796236,23,55,1,1,2.48,0.19
Zion,rm5-8,Samp.rm5-8-A,rm5-8,1,Yes,1-Jul-09,5913448,23,55,1,1,3.05,0.29
Zion,rm5-12,Samp.rm5-12-A,rm5-12,1,Yes,24-Jun-09,3410491,23,55,1,1,3.20,0.27
Zion,rm5-16,Samp.rm5-16-A,rm5-16,1,Yes,25-Jun-09,4788426,23,55,1,1,3.63,0.33
Zion,rm5-16,Samp.rm5-16-B,rm5-16,2,No,28-Jun-09,5127630,23,55,1,1,3.50,0.37
Zion,rm5-17,Samp.rm5-17-A,rm5-17,1,Yes,25-Jun-09,1438017,23,55,1,1,3.70,0.31
Zion,rm5-23,Samp.rm5-23-A,rm5-23,1,Yes,22-Jun-09,3543412,23,55,1,1,3.80,0.33
Zion,rm5-23,Samp.rm5-23-B,rm5-23,2,No,28-Jun-09,4666829,23,55,1,1,3.61,0.39
Zion,rm5-24,Samp.rm5-24-A,rm5-24,1,Yes,25-Jun-09,3752719,23,55,1,1,3.15,0.23
Zion,rm5-24,Samp.rm5-24-B,rm5-24,2,No,21-Jul-09,30812928,23,55,1,1,3.01,0.39
Zion,rm5-27,Samp.rm5-27-A,rm5-27,1,Yes,28-Jun-09,5413330,23,55,1,1,4.39,0.41
Zion,rm5-29,Samp.rm5-29-A,rm5-29,1,Yes,23-Jun-09,3716207,23,55,1,1,2.86,0.27
Zion,rm5-29,Samp.rm5-29-B,rm5-29,2,No,24-Jun-09,3261276,23,55,1,1,3.07,0.30
Arizona,rm2-1,Samp.rm2-1-A,rm2-1,1,Yes,25-Jun-09,6741483,23,55,1,1,2.10,0.19
Arizona,rm2-3,Samp.rm2-3-A,rm2-3,1,Yes,25-Jun-09,5886478,23,55,1,1,2.83,0.23
Arizona,rm2-5,Samp.rm2-5-A,rm2-5,1,Yes,16-Jun-09,5789065,23,55,1,1,1.98,0.16
Arizona,rm2-5,Samp.rm2-5-B,rm2-5,2,No,25-Jun-09,4875529,23,55,1,1,2.13,0.16
Arizona,rm2-6,Samp.rm2-6-A,rm2-6,1,Yes,25-Jun-09,4697269,23,55,1,1,1.63,0.14
Arizona,rm2-7,Samp.rm2-7-A,rm2-7,1,Yes,15-Jun-09,5742990,23,55,1,1,2.21,0.17
Arizona,rm2-8,Samp.rm2-8-A,rm2-8,1,Yes,25-Jun-09,6801250,23,55,1,1,2.72,0.24
Arizona,rm2-9,Samp.rm2-9-A,rm2-9,1,Yes,1-Jun-09,5338464,23,55,1,1,3.30,0.37
Arizona,rm2-9,Samp.rm2-9-B,rm2-9,2,No,8-Jun-09,3224606,23,55,1,1,2.81,0.33
Arizona,rm2-9,Samp.rm2-9-C,rm2-9,3,No,24-Jun-09,6525741,23,55,1,1,2.87,0.25
Arizona,rm2-9,Samp.rm2-9-D,rm2-9,4,No,25-Jun-09,6594052,23,55,1,1,2.91,0.21
Arizona,rm2-11,Samp.rm2-11-A,rm2-11,1,Yes,8-Jun-09,2973401,23,55,1,1,2.28,0.22
Arizona,rm2-11,Samp.rm2-11-B,rm2-11,2,No,16-Jun-09,6641677,23,55,1,1,2.64,0.26
Arizona,rm2-11a,Samp.rm2-11-C,rm2-11,3,No,17-Jun-09,6029157,23,55,1,1,2.91,0.30
Arizona,rm2-11b,Samp.rm2-11-D,rm2-11,4,No,17-Jun-09,6187466,23,55,1,1,2.97,0.28
Arizona,rm2-13,Samp.rm2-13-A,rm2-13,1,Yes,1-Jun-09,8201924,23,55,1,1,2.39,0.27
